trial_id,method,step,r_squared,entropy,violations,tq
62,epistemic,6,0.640673,0.359327,0,1.0000
62,epistemic,7,0.644467,0.355533,0,0.4865
63,epistemic,0,0.300187,0.699813,0,1.0000
63,epistemic,1,0.360183,0.639817,0,1.0000
63,epistemic,2,0.519925,0.480075,0,1.0000
63,epistemic,3,0.566968,0.433032,0,1.0000
63,epistemic,4,0.629562,0.370438,0,1.0000
63,epistemic,5,0.628639,0.371361,0,1.0000
63,epistemic,6,0.665951,0.334049,0,1.0000
63,epistemic,7,0.666956,0.333044,0,0.4865
64,epistemic,0,0.024916,0.975084,0,1.0000
64,epistemic,1,0.123548,0.876452,0,1.0000
64,epistemic,2,0.264921,0.735079,0,1.0000
64,epistemic,3,0.337457,0.662543,0,1.0000
64,epistemic,4,0.436024,0.563976,0,1.0000
64,epistemic,5,0.436168,0.563832,0,1.0000
64,epistemic,6,0.460889,0.539111,0,1.0000
64,epistemic,7,0.461185,0.538815,0,0.4865
65,epistemic,0,0.271941,0.728059,0,1.0000
65,epistemic,1,0.340453,0.659547,0,1.0000
65,epistemic,2,0.504391,0.495609,0,1.0000
65,epistemic,3,0.528005,0.471995,0,1.0000
65,epistemic,4,0.603371,0.396629,0,1.0000
65,epistemic,5,0.601803,0.398197,0,1.0000
65,epistemic,6,0.642343,0.357657,0,1.0000
65,epistemic,7,0.640873,0.359127,0,0.4865
66,epistemic,0,0.269272,0.730728,0,1.0000
66,epistemic,1,0.312593,0.687407,0,1.0000
66,epistemic,2,0.508487,0.491513,0,1.0000
